Company Name,Title / Role,Linked In URL / Company careers page,Applicants,Experience,Job Description,Requirement,Heard From / Source,Discovery date,Application date,Application Status,Rejection Date,Contact 1 ,Contact 1 state,Contact 1 Comm,Contact 2 ,Contact 2 state,Contact 2 comm,SU Alum 1,SU Alum 2,Note1,Note2,Cover Letter,Sponsership
Suffolk Construction,Data Analyst,https://www.linkedin.com/jobs/view/2503397995/?midToken=AQFExoyeq7-NyA&midSig=3hYsz96fcMH9I1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknndgqvh%7Eot-null-jobs%7Eview,,1,"Collaborate with project sponsors to determine the project scope and vision. Perform requirements analysis on a project-by-project basis to define project impact, outcome criteria, and metrics. Design, develop and enhance data visualizations that make data more accessible, understandable, and actionable. Devise, develop, and deploy required data queries in response to business user needs. Work with various stakeholders to problem solve using data analysis and communicate the results to various stakeholders. Perform regular quality reviews of data inputs and analytics to ensure a high-quality end product. Ensure high adoption rate of the data and analytics tools portfolio (data preparation and data visualization tools) by focusing on usability of solutions, user training and go-live support. Prepare, blend, and cleanse data from multiple sources to design extracts for optimal use with Tableau or PowerBI. Design and deliver end-user training and training materials; provide technical support as necessary. Collaborate in the planning, design, development, and deployment of new applications, and enhancements to existing applications. Assist in the development of data management policies and procedures. Troubleshoot BI tools, systems, and software; performance-tune these applications as necessary.","A bachelor’s degree in computer science, statistics, applied mathematics, data management, information systems, or a related quantitative field [or equivalent work experience] is required. At least 1 year of data or analytics experience. At least 1 year of experience working with business stakeholders in support of departmental and/or multi-departmental data and analytics initiatives. Experience with data visualization tools, such as Tableau or PowerBI, with an aptitude to learn new tools. Experience in data sourcing, transformation and clean up, and using tools such as Alteryx, or programming languages such as Python, R, or SQL. Ability to build advanced calculations to manipulate data. Experience developing and shaping data with SQL. Experience using the advanced capabilities of Excel (pivot tables, charting, macros, calculations). Experience with software development or programming is a plus. Knowledge of data quality concepts, best practices, and tools. Communication and conflict resolution skills to help reconcile the different points of view and requirements that clash during cross-team and cross-organization efforts. Strong verbal and written communication skills. Construction experience preferred but not required.",Linked In,2021-04-18,2021-04-18,Pending,,Rocky Man,Cold Called / Messaged,,Jacob Ferdinando,Cold Called / Messaged,,,,,,,
TechTalent Squared,Data Analytics Associate,https://www.linkedin.com/jobs/view/2476428042/?midToken=AQFExoyeq7-NyA&midSig=09UTEb57AvH9I1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknnctvud%7E7d-null-jobs%7Eview,,2,"Manage technology-centric projects with internal and external teams to improve client experience Solve complex business challenges through design and delivery of scalable and repeatable data analysis workflows Collaborate with end users to understand their business needs and Design and implement databases Create, maintain, and contribute to training and documentation materials with a high level of accuracy Contribute to and participate in strategy meetings related to the long-term technology roadmap Demonstrate excellent time management skills and effectively balance execution of multiple workflows and projects to meet deadlines. Contribute to effective delivery of client project work by our analysis team through technology enhancements and automation","B.S. degree in Engineering, Finance, Business, Computer Science, or Data Science 2 – 7 + years’ experience in data analytics, database architecture 2+ years' experience working with Alteryx Designer / Server and programming languages such as Python, R, and SQL preferred Data modelling work experience or training preferred, with working knowledge of modelling (regression, machine learning, feature selection, validation), data (extracting, preparing, munging, validating), and building analytics workflows 2 + years’ consulting experience in strategy, technology, or analytics strongly preferred Strong communication skills (verbal and written)",Linked In,2021-04-18,2021-04-18,Pending,,,,,,,,,,,,,
TechTalent Squared,Business Intelligence Developer,https://www.linkedin.com/jobs/view/2476425561/?refId=W%2B0FgHgf6%2BX00oq1raj%2BLg%3D%3D&trackingId=MOX%2Bl689ztkCAd%2FxVV6wkA%3D%3D,,3,"Design and develop enterprise and departmental business intelligence, data warehousing and reporting solutions. Work with business users to establish reporting and analytic requirements. Translate business requirements into ETL and report specifications. Develop and implement ETL processes, reports and queries in support of business analytics. Develop and implement interactive analytic reports and dashboards. Provide technical and business knowledge support to the team. Ensure effective communication of user requirements.","Bachelor’s degree required, IT or related major. 3+ years related experience with SQL Server, SSAS – Tabular Models, SSIS, SSRS, SharePoint and Power BI Knowledge of Azure SQL Data Warehouse, Azure Functions, PowerApps, Microsoft Flow and Connectors & Gateways Must exhibit excellent written and verbal communication. Ability to identify and rectify problems. Ability to manage database systems. Strong data analysis and data-cleansing experience Excellent problem-solving skills (collect information, analyze information, determine resolution) and attention to detail.",Linked In,2021-04-19,2021-04-19,Pending,,,,,,,,,,,,,
MyWoosah ,Junior Product Manager,https://www.linkedin.com/jobs/view/2508801992/?midToken=AQFExoyeq7-NyA&midSig=2NZp2xSLmcGVI1&trk=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job-null-3rwqxr%7Eknn7l1td%7E8o-null-jobs%7Eview,,5,"Work with the product teams to capture requirements through workshop facilitation, data, task and workflow analysis Identify current state business processes or system inadequacies for future development and provide recommendation for process/systems improvement to product teams Ability to identify and document product requirements through user stories based on business process or market research Facilitate daily SCRUM Meeting and manage the execution of action items Create use cases, user stories, functional specifications, diagrams and technical documentation as needed to articulate requirements Combine all business requirements into a clear, managed, prioritized backlog and provide support to technology team on implementation questions Provide support for product launches as necessary Build and foster relationships with key internal business leaders and become a trusted resource","Bachelor's Degree Working experience capturing high level business requirements and decomposing them into user stories or specifications Working experience creating use cases, user stories, business requirements specifications, functional specifications, process flow diagrams Working experience communicating, writing, and presenting complex technical information to both technical and non-technical audiences Demonstrated problem-solving ability and initiative Working experience in development lifecycle 5+ years of analytical or process experience in related field or department Knowledge and use of mobile and tablet devices High proficiency in Excel and Microsoft Office applications Professional written and verbal communication skills Proven track record of managing projects and delivering results Ability to work cooperatively and collaboratively with all levels of employees, and management to maximize performance, creativity, problem solving, and results Highly detail oriented and organized in work and ability to meet assigned deadlines",Linked In,2021-04-18,2021-04-18,Pending,,Jude Mmereole,Cold Called / Messaged,InMail,,,,,,,,,
Mozilla,Data Analyst,https://www.linkedin.com/jobs/view/2508277947/?midToken=AQFExoyeq7-NyA&midSig=02ELNz0656G9I1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknmdnbte%7E6b-null-jobs%7Eview,,2,"Explore and research data relating to key product and business metrics Collaborate with product, business, and engineering teams across Pocket to support their data needs and refine their understanding of it Conceptualize, build, and maintain dashboards and reports focusing on key metrics and experiments Create simple and elegant data visualizations designed to communicate insights clearly","BA/BS in a quantitative field 2+ years of experience in data analysis or statistics; product analytics preferred Can demonstrate advanced SQL knowledge and are comfortable wrangling large data sets into easy to comprehend analysis and visualizations Experience with a data visualization tool (e.g. Mode Analytics/Looker) Enjoy communicating insights concisely, accurately, and meaningfully to a diverse audience Have a passion for helping anyone and everyone understand complex topics Any Python/R/Snowflake experience considered a plus Any dbt experience considered a big plus! Our team requires skills in a variety of domains. You should ideally have experience with some of the areas listed above, and be passionate about learning new things",Linked In,2021-04-18,2021-04-18,Pending,,Ryan Harter,Cold Called / Messaged,,Benjamin D.,Cold Called / Messaged,,,,,,,
Intelligent Medical Objects,Data Analyst,https://www.linkedin.com/jobs/view/2481062403/?midToken=AQFExoyeq7-NyA&midSig=02ELNz0656G9I1&trk=eml-jobs_applicant_applied-similar_jobs-0-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-0-similar_job-null-3rwqxr%7Eknmdnbte%7E6b-null-jobs%7Eview,,,"Assess, value, prioritize, and develop initiatives that best align with department priorities Work closely with executives to achieve and measure outcomes based on company goals Enhance cross-departmental engagements by analyzing data and making actionable recommendations Create and maintain weekly and monthly reports to management on key topics, such as related OKR measurements Leverage multiple types of data and information to identify opportunities for growth and enhancement of programs and products","Experience with at least one of the following general-purpose programming languages, including but not limited to: Oracle SQL, PostgresSQL, Python. Strong knowledge preferred. Experience with Tableau Desktop and Tableau Prep Builder or a similar visualization tool Ability to write and understand complex code and packages An enjoyment of technical challenges and eagerness to explore new approaches A willingness to ask for help and able to communicate what you need to do your best work An analytical mind and inclination for problem-solving Excellent interpersonal and communication skills: verbal, written, presentation, people, and diplomacy skills Solutions-oriented and has a passion for helping teams problem-solve and execute Experience with Salesforce a plus.",Linked In,2021-04-19,2021-04-24,Pending,,,,,,,,,,,,,
EBM Software,Data Analyst,https://www.linkedin.com/jobs/view/2488325995/?midToken=AQFExoyeq7-NyA&midSig=02ELNz0656G9I1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-3rwqxr%7Eknmdnbte%7E6b-null-jobs%7Eview,,2,"Aggregate and analyze data to present research findings and recommendations Thoroughly understand the team’s domain and how it contributes to overall business strategy Gain exposure on extracting data from various client ERPs, Data Warehouses and other data sources Support data exploration, visualization, and dashboard creation. Identify trends and drivers, perform exploratory data analysis, and present views that will provide visibility into client performance Communicate results and recommendations to consulting team Drive Data Analytics practice to grow capabilities","Self-driven and able to work with minimal supervision Strong working knowledge of computer software, such as Alteryx, MS Excel, MS PowerPoint, MS Word, etc. Experience with business intelligence and/or planning and budgeting software applications Ability to use data analysis to develop insights and hypothesis vs. reporting numbers Ability to influence and drive consensus across organizational functional areas Capable of multi-tasking across projects of varying scope and complexity Able to deal with ambiguity. Undergraduate B.S. Degree – emphasis in Finance or Data Science 2-3 years of relevant experience Proficiency in SQL (Views, Queries, Stored Procedures) Alteryx or similar programs (Informatica, SSIS, KNIME, etc) MS SQL Server or other relational platforms (MySQL, Oracle, DB2, etc) MS Excel or Google Sheets PowerBI or similar visualization programs (Tableau, Qlik, Looker, etc) Python, R, SAS Tabular Data Modeling, DAX Queries",Linked In,2021-04-19,,Pending,,Kelsey Morgan,Cold Called / Messaged,InMail,,,,,,,,,
FunctGenix,Data Scientist,https://www.linkedin.com/jobs/view/2508691848/?midToken=AQFExoyeq7-NyA&midSig=2gNsTGxh5LGVI1&trk=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job-null-3rwqxr%7Eknn6jxwb%7E9o-null-jobs%7Eview,13,1,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing Design accurate and scalable prediction algorithms Collaborate with engineering team to bring analytical prototypes to production Generate actionable insights for business improvements","Masters degree (Ph.D. preferred) or equivalent experience in a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.) At least 1 - 2 years' of experience in quantitative analytics or data modeling Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms Fluency in a programming language (Python, C,C++, Java, SQL) Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)",Linked In,2021-04-17,2021-04-17,Pending,,,,,,,,,,,,,
Qurate Retail Group,Business Analyst II,https://www.linkedin.com/jobs/view/2488338204/?refId=h1273AAvKaZtc8wvajJ4Iw%3D%3D&trackingId=uUHQvyVgV3Okk7OG%2BBzAhQ%3D%3D,13,3,"Develop and expand Zulily Vendor performance capabilities by collaborating with other teams, and analysts to build robust analytical reporting systems to measure and improve supply chain health, fulfillment operational excellence, transportation efficiencies and customer experience. Ability to analyze large data sets by utilizing SQL, ETL, Tableau to shape data, understand historical trends and patterns Create operational and executive metrics to increase program visibility and drive continuous improvement. Perform ad-hoc analysis to drive business decisions on process improvement and project prioritization. Identify data gaps, create business requirements and work with the Business Intelligence team to drive improved visibility. Experience or willingness to learn the following analytic tools: Python, R or VBA Develop and implement business processes for the vendor Ops and Triple Z teams to increase efficiencies and effectiveness","BS or BA degree in a quantitative field such as Math, Finance, Statistics, Engineering or Business Operations. MBA or Technical Masters preferred 3 – 5 years of related experience as an analyst in business analysis, supply chain or operations. Advanced Excel skills and moderate to advanced SQL skills Moderate to advanced Tableau skills",Linked In,2021-04-18,2021-04-18,Pending,,Wen Gao,Cold Called / Messaged,Note/Connect,,,,,,,,,
Helm,Data Analyst,https://www.linkedin.com/jobs/view/2509300448/?refId=5orkVv9kol9qcIPG0sno1g%3D%3D,55,,,"achelor's degree in Data Analytics, Data Science, or similar. Minimum of five years' experience working with structured and nonstructured data to deliver business intelligence. Proven track record of developing dashboards and reports to meet business needs. Hands on experience working with Business Intelligence software to meet operational needs and visualize strategic growth opportunities to management. Extensive experience with databases. Prior application of data and reporting integrity and sustainability. eCommerce platforms (ideally Magento) - Google Analytics - Netsuite - PowerBI - QuickBase - SQL Server - Python or R - Machine Learning/ Artificial Intelligence is a plus Seniority Level Entry level Industry Marketing & Advertising  Consumer Goods  Retail Employment Type Full-time Job Functions.",Linked In,2021-04-18,2021-04-18,Pending,,Paul Carmouche,Cold Called / Messaged,Note/Connect,Dustin Morabito,Cold Called / Messaged,Note/Connect,,,,,,
Find Great People,Data Scientist,https://www.linkedin.com/jobs/view/2461120012/?midToken=AQFExoyeq7-NyA&midSig=3Qpb0eQeHVGFI1&trk=eml-jobs_applicant_applied-applied_jobs-13-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-13-applied_job-null-3rwqxr%7Eknn2bqco%7Egg-null-jobs%7Eview,80,3,"This person will lead the division’s implementation of systems to capture, extract, and organize data from multiple platforms. Lead Power BI implementation for the division by extracting model datasets from various platforms and creating key content","3 years of work experience with Microsoft Power BI Experience in Business Intelligence/Business Objects and SAP preferred Proficiency with SQL, relational databases, and Python Knowledge of business process streamlining and continuous process improvement Advanced MS Excel and PowerPoint skillset Ability to learn to manipulate data using other tools such as MS Access and Alteryx BA/BS 4 year degree preferred",Linked In,2021-04-18,2021-04-18,Pending,,Jan Nickerson,Cold Called / Messaged,Note/Connect,Megan Jefferson,Cold Called / Messaged,InMail,,,,,,
Cisco ,Data Scientist,https://jobs.cisco.com/,,3,"Use Cisco’s data to design, build, and deploy Machine Learning technologies as reliable and scalable services Drive end-to-end projects by identifying, gathering, cleansing, verifying, analyzing, and presenting data for key business problems while utilizing state-of-the-art methods & tools Create the vision for data science solutions incorporating the latest techniques Answer complex business questions via structured problem solving, technical analysis, inferences, and delivering impactful insights & recommendations Engage with business to lead/cultivate long-term projects, create technical and non-technical plans, processes, roadmaps and metrics for achieving success Monitor and ensure life cycle maintenance of Machine Learning models and solutions, with focus on quality and impact Above all, come with a curious mind and a passionate learning mindset","Strong background in statistics and machine learning, with 3+ years of proven experience in AI/ML with a Bachelors/ Masters in computer science, Statistics, Mathematics, Engineering, or a related subject Proficient in end-to-end data science solutions and techniques, machine learning, information retrieval, and applied statistics to deliver optimal business value with defined metrics and modeling objectives Ability to do exploratory analysis on large volumes of data and find key descriptive and inferential properties (Strong attention to detail and accuracy) Strong Python (3+ years) programming skills, with an ability to manipulate large and sophisticated datasets Knowledge of cloud services (GCP/AWS) and developing data science projects Software development methodologies and tools Self-motivated, fast learner, excellent communication, presentation, interpersonal, and analytical skills. Programming experience in Scripting languages like Python or R Data Querying experience in a variety of warehouses such as Snowflake, Teradata, Hive, HANA, Strong knowledge of GIT GCP/AWS (Or some other cloud services) Agile Data Science Development.",Company Website,2021-04-17,2021-04-18,Pending,,Bilal Mahmood,Connected,Message,Raj Kamra,Cold Called / Messaged,Note/Connect,,,,,,
Quantitative Systems,Data Scientist,https://www.linkedin.com/jobs/view/1406915355/?midToken=AQFExoyeq7-NyA&midSig=2Qj_uafkulG9I1&trk=eml-jobs_applicant_applied-similar_jobs-0-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-0-similar_job-null-3rwqxr%7Eknmggjmx%7Em-null-jobs%7Eview,200,2,"Performing quantitative research, analysis and development on  Group’s electronic/algorithmic execution trading systems. Use statistical/mathematical techniques and knowledge of US equity market structure (and microstructure) to design new trading algorithms and systems, and improve existing ones, with the goal of providing ‘best execution’ on client orders executed thru our systems. The research tasks involve developing research plans, extensive data analysis (usually with large amounts of data on orders, trades and market data) and documenting outcomes as reports and white papers. The development tasks require writing robust software using good design principles and follow practices like continuous integration for efficient development cycles.","Bachelor or a Master’s degree in Computer Science, with an advanced degree in a quantitative field like Statistics, Financial Mathematics, Operations Research, Machine Learning, or a directly related field. 2-5 years of experience in software development and 1-3 years in quantitative analysis (statistical analysis - regression analysis, time series analysis and/or machine learning). Strong object oriented design and programming skills using Java (or similar object oriented programming language) is required, with good knowledge of using efficient data structures. Experience working with data/statistical analysis software like Excel, R and Matlab, and familiarity with data visualization tools and techniques. Experience researching large data sets related to trading (tick/market data, orders and trades) is a plus. Knowledge of equity market micro-structure and TCA techniques is a plus. Candidate should be self-motivated, and have the ability to communicate complex ideas clearly and work well in a collaborative team environment. Familiarity with some or all of these technologies is required - JUnit testing, Unix environment, multi-threaded programming and NoSQL databases.",Linked In,2021-04-17,2021-04-19,Pending,,Evan Gary,Cold Called / Messaged,InMail,Raymund Espinas,Cold Called / Messaged,Note/Connect,,,,,,
